place,address,pos,open_time
창덕궁,서울특별시 종로구 명륜3가,"[37.5823645, 126.9907841]","월요일
휴무일
화요일
오전 10:00~오후 5:30
수요일
오전 10:00~오후 5:30
목요일
오전 10:00~오후 5:30
금요일
오전 10:00~오후 5:30
토요일
오전 10:00~오후 5:30
일요일
오전 10:00~오후 5:30"
무등산 국립공원,광주광역시 북구 무등로 1550,"[35.1441051, 126.9868112]","월요일
오전 4:00~오후 4:00
화요일
오전 4:00~오후 4:00
수요일
오전 4:00~오후 4:00
목요일
오전 4:00~오후 4:00
금요일
오전 4:00~오후 4:00
토요일
오전 4:00~오후 4:00
일요일
오전 4:00~오후 4:00"
한라산 국립공원,제주특별자치도 서귀포시 중문동 영실로 246,"[33.3488559, 126.494788]",
대왕암 공원,울산광역시 동구 일산동 산907,"[35.4923951, 129.4373663]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
향일암,전라남도 여수시 돌산읍 향일암로 1,"[34.5916198, 127.8017379]",
동문 재래시장,제주특별자치도 제주시 이도일동 관덕로14길 20,"[33.5115818, 126.523905]","월요일
오전 8:00~오후 9:00
화요일
오전 8:00~오후 9:00
수요일
오전 8:00~오후 9:00
목요일
오전 8:00~오후 9:00
금요일
오전 8:00~오후 9:00
토요일
오전 8:00~오후 9:00
일요일
오전 8:00~오후 9:00"
한국 전쟁 기념관,서울특별시 용산구 남영동 이태원로 29,"[37.5366059, 126.9749457]",
아침 고요 수목원,경기도 가평군 상면 수목원로 432,"[37.7439438, 127.3503527]","월요일
오전 11:00~오후 9:00
화요일
오전 11:00~오후 9:00
수요일
오전 11:00~오후 9:00
목요일
오전 11:00~오후 9:00
금요일
오전 11:00~오후 9:00
토요일
오전 11:00~오후 11:00
일요일
오전 11:00~오후 9:00"
국립중앙박물관,서울특별시 용산구 서빙고동 서빙고로 137,"[37.5238506, 126.9782762]","월요일
오전 10:00~오후 6:00
화요일
오전 10:00~오후 6:00
수요일
오전 10:00~오후 9:00
목요일
오전 10:00~오후 6:00
금요일
오전 10:00~오후 6:00
토요일
오전 10:00~오후 9:00
일요일
오전 10:00~오후 6:00"
한림공원,제주특별자치도 제주시 한림읍 한림로 300,"[33.3895279, 126.2370944]","월요일
오전 8:30~오후 5:30
화요일
오전 8:30~오후 5:30
수요일
오전 8:30~오후 5:30
목요일
오전 8:30~오후 5:30
금요일
오전 8:30~오후 5:30
토요일
오전 8:30~오후 5:30
일요일
오전 8:30~오후 5:30"
경기전,전라북도 전주시 완산구 풍남동 태조로 44,"[35.8153224, 127.1475984]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
인사동,서울특별시 종로구 인사동,"[37.5720449, 126.9838119]",
광안리해수욕장,부산광역시 광안2동,"[35.1531678, 129.1011135]",
트릭아이뮤지엄 서울,서울특별시 마포구 서교동 홍익로3길 20,"[37.5535655, 126.9195323]","월요일
오전 10:00~오후 7:00
화요일
오전 10:00~오후 7:00
수요일
오전 10:00~오후 7:00
목요일
오전 10:00~오후 7:00
금요일
오전 10:00~오후 7:00
토요일
오전 10:00~오후 7:00
일요일
오전 10:00~오후 7:00"
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,"[33.484272, 126.8042853]","월요일
오전 9:00~오후 5:00
화요일
오전 9:00~오후 5:00
수요일
오전 9:00~오후 5:00
목요일
오전 9:00~오후 5:00
금요일
오전 9:00~오후 5:00
토요일
오전 9:00~오후 5:00
일요일
오전 9:00~오후 5:00"
