place,address,pos,open_time
부산불꽃축제,부산광역시 수영구 광안2동 광남로,"[35.1534233, 129.1169772]",
우리꽃 식물원,경기도 화성시 팔탄면 3.1만세로 777-17,"[37.1159214, 126.8808807]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
여의도 공원,서울특별시 영등포구 여의동 여의공원로 68,"[37.523816, 126.916722]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
전주동물원,전라북도 전주시 덕진구 덕진동1가 소리로 68,"[35.8555198, 127.1424691]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
세미원,경기도 양평군 양서면 양수로 93 KR,"[37.5382032, 127.3195586]",
봉포해변,고성군 토성면,"[38.252812, 128.5486306]",
인천공항 자기부상열차,용유,"[37.4248324, 126.4214577]",
하슬라 아트 월드,강원도 강릉시 강동면 율곡로 1441 KR,"[37.7067534, 129.0087917]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
제이드가든 수목원,강원도 춘천시 남산면 햇골길 80,"[37.8325325, 127.5401042]",
부천중앙공원,경기도 부천시 원미구 중동 소향로 162,"[37.5001419, 126.7631762]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
해인사,경상남도 합천군 가야면 해인사길 122,"[35.8011781, 128.095904]",
제주 민속자연사 박물관,제주시 일도2동,"[33.50696, 126.528524]",
산사원,경기도 포천시 화현면 화현리 512,"[37.9059437, 127.3069279]","월요일
오전 8:30~오후 5:30
화요일
오전 8:30~오후 5:30
수요일
오전 8:30~오후 5:30
목요일
오전 8:30~오후 5:30
금요일
오전 8:30~오후 5:30
토요일
오전 8:30~오후 5:30
일요일
오전 8:30~오후 5:30"
화성행궁,경기도 수원시 팔달구 남창동 행궁로 11,"[37.2819578, 127.0115401]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
부전시장,부산광역시 부산진구 부전1동 중앙대로783번길 23,"[35.1625562, 129.0592798]","월요일
오전 6:00~오후 7:00
화요일
오전 6:00~오후 7:00
수요일
오전 6:00~오후 7:00
목요일
오전 6:00~오후 7:00
금요일
오전 6:00~오후 7:00
토요일
오전 6:00~오후 7:00
일요일
오전 6:00~오후 7:00"
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리,"[33.4509003, 126.2881773]",
청평사,강원도 춘천시 북산면 청평리 674,"[37.9864048, 127.8068207]",
보성 녹차밭 대한 다원,전라남도 보성군 보성읍 녹차로 763-65,"[34.7148119, 127.0787887]","월요일
오전 9:00~오후 6:30
화요일
오전 9:00~오후 6:30
수요일
오전 9:00~오후 5:30
목요일
오전 9:00~오후 6:30
금요일
오전 9:00~오후 6:30
토요일
오전 9:00~오후 6:30
일요일
오전 9:00~오후 6:30"
한려 해상 국립공원,경남 통영시 산양읍 한산면,"[34.8425341, 128.3543896]",
석불사,익산시 삼기면 석불사거리,"[36.0298328, 127.0062033]",
보문사,인천광역시 강화군 삼산면 삼산남로828번길 44,"[37.6886721, 126.319281]",
태백산 국립공원,강원도 태백시 혈동 태백산로 4778,"[37.1203361, 128.9057006]",
동구릉,경기도 구리시 동구릉로,"[37.6230003, 127.1194279]",
동탄 센트럴 파크,경기도 화성시 반송동 59,"[37.2051082, 127.0613051]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
꽃지해수욕장,태안군 안면읍,"[36.4969298, 126.3176474]",
태안해안 국립공원,태안군 소원면,"[36.8944539, 126.2044791]",
울산 대공원,울산광역시 남구 옥동 대공원로 94,"[35.5310171, 129.2916118]","월요일
오전 2:45~오전 12:00
화요일
오전 12:00~2:45
오전 3:00~오전 12:00
수요일
오전 7:00~오전 12:00
목요일
오전 7:00~오전 12:00
금요일
오전 1:45~2:00
토요일
오전 7:00~오전 3:00
일요일
오후 5:00~오전 12:00"
제주시 민속 오일시장,제주특별자치도 제주시 도두일동 오일장서길 26,"[33.4969018, 126.4731996]","월요일
휴무일
화요일
오전 8:00~오후 6:00
수요일
오전 8:00~오후 6:00
목요일
오전 8:00~오후 6:00
금요일
오전 8:00~오후 6:00
토요일
오전 8:00~오후 6:00
일요일
오전 8:00~오후 6:00"
융릉과 건릉,융건릉 관광안내소,"[37.2078417, 126.9867769]","월요일
휴무일
화요일
오전 9:00~오후 5:30
수요일
오전 9:00~오후 5:30
목요일
오전 9:00~오후 5:30
금요일
오전 9:00~오후 5:30
토요일
오전 9:00~오후 5:30
일요일
오전 9:00~오후 5:30"
부소산성,충청남도 부여군 부여읍 쌍북리,"[36.2874525, 126.9130792]","월요일
오전 9:00~오후 5:00
화요일
오전 9:00~오후 5:00
수요일
오전 9:00~오후 5:00
목요일
오전 9:00~오후 5:00
금요일
오전 9:00~오후 5:00
토요일
오전 9:00~오후 5:00
일요일
오전 9:00~오후 5:00"
주문진항,강릉시 주문진읍,"[37.8920552, 128.8123393]",
파주 프리미엄 아울렛,경기도 파주시 탄현면 필승로 200,"[37.7691847, 126.6948208]","월요일
오전 10:30~오후 8:30
화요일
오전 10:30~오후 8:30
수요일
오전 10:30~오후 8:30
목요일
오전 10:30~오후 8:30
금요일
오전 10:30~오후 9:00
토요일
오전 10:30~오후 9:00
일요일
오전 10:30~오후 9:00"
원주 소금산 출렁다리,강원도 원주시 지정면 소금산길 12,"[37.3664972, 127.823883]",
고수 동굴,충청북도 단양군 단양읍 고수동굴길 8,"[36.98852, 128.379267]",
대구 미술관,대구광역시 수성구 고산2동 미술관로 40,"[35.8271354, 128.6719822]","월요일
휴무일
화요일
오전 10:00~오후 7:00
수요일
오전 10:00~오후 7:00
목요일
오전 10:00~오후 7:00
금요일
오전 10:00~오후 7:00
토요일
오전 10:00~오후 7:00
일요일
오전 10:00~오후 7:00"
학인당,전라북도 전주시 완산구 풍남동 향교길 45,"[35.811855, 127.149878]",
올림픽 공원,서울특별시 송파구 오륜동 올림픽로 424,"[37.5206868, 127.1193001]",
소양강스카이워크,강원도 춘천시 근화동 영서로 2675,"[37.8933383, 127.7212187]","월요일
오전 10:00~오후 9:00
화요일
오전 10:00~오후 9:00
수요일
오전 10:00~오후 9:00
목요일
오전 10:00~오후 9:00
금요일
오전 10:00~오후 9:00
토요일
오전 10:00~오후 9:00
일요일
오전 10:00~오후 9:00"
대구예술발전소,대구광역시 중구 수창동 58-2,"[35.8755076, 128.5823673]","월요일
휴무일
화요일
오전 10:00~오후 7:00
수요일
오전 10:00~오후 7:00
목요일
오전 10:00~오후 7:00
금요일
오전 10:00~오후 7:00
토요일
오전 10:00~오후 7:00
일요일
오전 10:00~오후 7:00"
안면도 자연휴양림,충청남도 태안군 안면읍 안면대로 3195-6,"[36.4972055, 126.3596017]",
속초중앙시장,강원도 속초시 중앙동 471-4,"[38.2045573, 128.5879628]",
비발디파크 오션월드,강원도 홍천군 서면 한치골길 262,"[37.648204, 127.683565]","월요일
오전 8:00~오후 6:00
화요일
오전 8:00~오후 6:00
수요일
오전 8:00~오후 6:00
목요일
오전 8:00~오후 6:00
금요일
오전 8:00~오후 6:00
토요일
오전 8:00~오후 6:00
일요일
오전 8:00~오후 6:00"
거제 옥포대첩기념공원,경상남도 거제시 옥포2동 팔랑포2길 87,"[34.8998604, 128.7117647]","월요일
오전 9:00~오후 5:30
화요일
오전 9:00~오후 5:30
수요일
오전 9:00~오후 5:30
목요일
오전 9:00~오후 5:30
금요일
오전 9:00~오후 5:30
토요일
오전 9:00~오후 5:30
일요일
오전 9:00~오후 5:30"
월악산국립공원,충청북도 제천시 덕산면 월악리,"[36.8520051, 128.1950668]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
동피랑마을,경상남도 통영시 동호동 동피랑1길 6-18,"[34.8456408, 128.4254197]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
한려수도 조망 케이블카,경상남도 통영시 도남동 349-1,"[34.8264304, 128.4232289]",
이천 도자기축제,경기도 이천시 관고동 390,"[37.2779212, 127.4246985]",
방주교회,제주특별자치도 서귀포시 안덕면 상천리 427,"[33.3050476, 126.3852437]",
강화씨사이드리조트,인천광역시 강화군 길상면 장흥로 217 씨사이드리조트,"[37.6175502, 126.502569]",
이순신 광장,전라남도 여수시 중앙동 383,"[34.7393891, 127.7337862]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
서해 수호관,경기도 평택시 포승읍 2함대길 122 KR,"[36.9965219, 126.8082206]",
완산공원,전라북도 전주시 완산구 서서학동 매곡로 35-29,"[35.803227, 127.1396769]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
용눈이오름,제주시 구좌읍,"[33.4599659, 126.8139245]",
명동 성당,서울특별시 중구 저동1가 명동길 74,"[37.563177, 126.9851664]",
익산미륵사지,전라북도 익산시 금마면 기양리 97,"[36.012325, 127.0284282]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
수도사,광주광역시 동구 대의동,"[35.1502901, 126.9184191]",
간절곶,울산광역시 울주군 서생면 대송리,"[35.3589685, 129.3590666]",
가야산 국립공원,경상북도 성주군 수륜면 백운리 1805,"[35.8001128, 128.1395896]",
내장산국립공원,전라북도 정읍시 내장동 내장산로 936,"[35.4933876, 126.9256443]","월요일
오전 7:00~오후 6:00
화요일
오전 7:00~오후 6:00
수요일
오전 7:00~오후 6:00
목요일
오전 7:00~오후 6:00
금요일
오전 7:00~오후 6:00
토요일
오전 7:00~오후 6:00
일요일
오전 7:00~오후 6:00"
진주 남강유등축제,경상남도 진주시 초전동 260-5,"[35.211049, 128.1223453]",
권금성,강원도 속초시 대포동,"[38.1621012, 128.4849996]","월요일
오전 6:00~오후 6:00
화요일
오전 6:00~오후 6:00
수요일
오전 6:00~오후 6:00
목요일
오전 6:00~오후 6:00
금요일
오전 6:00~오후 6:00
토요일
오전 6:00~오후 6:00
일요일
오전 6:00~오후 6:00"
암남공원,부산광역시 서구 암남동 620-3,"[35.0634608, 129.0186327]",
어진 박물관,전라북도 전주시 완산구 풍남동3가 102,"[35.8163141, 127.1472177]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
춘천명동닭갈비골목,강원도 춘천시 조운동 명동길 9,"[37.8794817, 127.7253576]",
인천문학경기장,인천광역시 남구 선학동 매소홀로 618,"[37.4350619, 126.6885272]",
을왕리해수욕장,인천광역시 용유동,"[37.4477313, 126.3549517]",
거제 씨월드,경상남도 거제시 일운면 지세포해안로 15,"[34.8359084, 128.6993763]","월요일
오전 9:00~오후 5:00
화요일
오전 9:00~오후 5:00
수요일
오전 9:00~오후 5:00
목요일
오전 9:00~오후 5:00
금요일
오전 9:00~오후 5:00
토요일
오전 9:00~오후 5:00
일요일
오전 9:00~오후 5:00"
서울 어린이 대공원,서울특별시 광진구 능동 능동로 216,"[37.5482248, 127.0786434]","월요일
오전 5:00~오후 10:00
화요일
오전 5:00~오후 10:00
수요일
오전 5:00~오후 10:00
목요일
오전 5:00~오후 10:00
금요일
오전 5:00~오후 10:00
토요일
오전 5:00~오후 10:00
일요일
24시간 영업"
선암마을 한반도 지형,강원도 영월군 한반도면 한반도로 555,"[37.2196578, 128.3450417]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
스카이로드,대전광역시 중구 은행선화동 중앙로164번길,"[36.3282357, 127.4261402]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
롯데월드 아쿠아리움,Seoul Songpa-gu 잠실6동,"[37.5134998, 127.1028285]","월요일
오전 10:30~오후 8:00
화요일
오전 10:30~오후 8:00
수요일
오전 10:30~오후 8:00
목요일
오전 10:30~오후 8:00
금요일
오전 10:30~오후 8:00
토요일
오전 10:30~오후 8:00
일요일
오전 10:30~오후 8:00"
이순신공원,경상남도 통영시 멘데해안길 205 (정량동),"[34.8443048, 128.4407378]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
벡스코,부산광역시 해운대구 우동 APEC로 55,"[35.1689766, 129.1338471]",
광화문,서울특별시 종로구 세종로 세종대로 172,"[37.5740339, 126.974581]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
청령포,영월군 영월읍 청령포입구,"[37.1846919, 128.4559487]",
국립 민속 박물관,서울특별시 종로구 세종로 삼청로 37,"[37.5816456, 126.9768008]","월요일
오전 9:00~오후 6:30
화요일
오전 9:00~오후 6:30
수요일
오전 9:00~오후 6:30
목요일
오전 9:00~오후 6:30
금요일
오전 9:00~오후 6:30
토요일
오전 9:00~오후 7:00
일요일
오전 9:00~오후 7:00"
창경궁,서울특별시 종로구 와룡동 창경궁로 185,"[37.5787708, 126.9926758]","월요일
휴무일
화요일
오전 9:00~오후 5:30
수요일
오전 9:00~오후 5:30
목요일
오전 9:00~오후 5:30
금요일
오전 9:00~오후 5:30
토요일
오전 9:00~오후 5:30
일요일
오전 9:00~오후 5:30"
미황사,전라남도 해남군 송지면 미황사길 164,"[34.3828873, 126.5751541]",
더베이101 요트클럽,부산광역시 해운대구 우동 동백로 52 더베이101요트,"[35.1567341, 129.1501299]",
테지움 제주,제주특별자치도 제주시 애월읍 평화로 2159,"[33.4122084, 126.391322]","월요일
오전 8:30~오후 7:00
화요일
오전 8:30~오후 7:00
수요일
오전 8:30~오후 7:00
목요일
오전 8:30~오후 7:00
금요일
오전 8:30~오후 7:00
토요일
오전 8:30~오후 7:00
일요일
오전 8:30~오후 7:00"
순천 드라마 세트장,전라남도 순천시 왕조2동 비례골길 24,"[34.957, 127.535406]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
여수 수산시장,전라남도 여수시 교동 680,"[34.7381381, 127.7295293]","월요일
오전 10:00~오후 10:00
화요일
오전 10:00~오후 10:00
수요일
오전 10:00~오후 10:00
목요일
오전 10:00~오후 10:00
금요일
오전 10:00~오후 10:00
토요일
오전 10:00~오후 10:00
일요일
오전 10:00~오후 10:00"
돌산 공원,전라남도 여수시 돌산읍 우두리 산1,"[34.7304329, 127.7377562]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
국립대구박물관,대구광역시 수성구 황금동 청호로 321,"[35.8458298, 128.6357418]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 9:00
일요일
오전 9:00~오후 7:00"
내소사,전라북도 부안군 진서면 내소사로 243,"[35.6175695, 126.5850597]",
관음사,전라남도 영암군 삼호읍 난전리 947,"[34.7448789, 126.4331025]",
다랭이마을,경상남도 남해군 남면 남면로679번길 21 KR,"[34.7275319, 127.8918927]","월요일
오전 8:00~오후 8:30
화요일
오전 8:00~오후 8:30
수요일
오전 8:00~오후 8:30
목요일
오전 8:00~오후 8:30
금요일
오전 8:00~오후 8:30
토요일
오전 8:00~오후 8:30
일요일
오전 8:00~오후 8:30"
대전도시철도,대전광역시 서구 월평동 160-20,"[36.3483939, 127.3505517]",
제주 들불축제,제주특별자치도 제주시 애월읍 새별오름,"[33.3673187, 126.3549126]",
전주 한지 박물관,전라북도 전주시 덕진구 팔복동 팔복로 59,"[35.8489359, 127.098046]",
더 마 파크,제주시 한림읍,"[33.357218, 126.240531]",
국립청주박물관,충청북도 청주시 상당구 용담.명암.산성동 명암로 143,"[36.6491667, 127.5100282]","월요일
휴무일
화요일
오전 10:00~오후 6:00
수요일
오전 10:00~오후 6:00
목요일
오전 10:00~오후 6:00
금요일
오전 10:00~오후 6:00
토요일
오전 10:00~오후 6:00
일요일
오전 10:00~오후 6:00"
남사당 전수관,안성남사당전수관,"[37.0588271, 127.240216]",
걸포중앙공원,경기도 김포시 걸포동 1550-1,"[37.6377712, 126.7033002]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
유림공원,대전광역시 유성구 봉명동 어은로 27,"[36.3601142, 127.3548171]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
한화 아쿠아플라넷 일산,경기도 고양시 일산서구 대화동 한류월드로 282,"[37.6633627, 126.7531143]","월요일
오전 10:00~오후 6:00
화요일
오전 10:00~오후 6:00
수요일
오전 10:00~오후 6:00
목요일
오전 10:00~오후 6:00
금요일
오전 10:00~오후 6:00
토요일
오전 10:00~오후 6:00
일요일
오전 10:00~오후 6:00"
거문오름,제주특별자치도 제주시 조천읍 선흘리,"[33.4546419, 126.7157309]",
계족산 황톳길,대전광역시 대덕구 회덕동 455-2,"[36.4065221, 127.4365041]","월요일
오전 9:00~오후 11:59
화요일
오전 9:00~오후 11:59
수요일
오전 9:00~오후 11:59
목요일
오전 9:00~오후 11:59
금요일
오전 9:00~오후 11:59
토요일
오전 9:00~오후 11:59
일요일
오전 9:00~오후 11:59"
광한루,전라북도 남원시 천거동 78,"[35.4038997, 127.3776041]","월요일
오전 8:00~오후 8:00
화요일
오전 8:00~오후 8:00
수요일
오전 8:00~오후 8:00
목요일
오전 8:00~오후 8:00
금요일
오전 8:00~오후 8:00
토요일
오전 8:00~오후 8:00
일요일
오전 8:00~오후 8:00"
배곧 한울공원,경기도 시흥시 정왕3동 배곧 2로 106,"[37.3540443, 126.7002144]",
부산항,부산광역시 중앙동4가,"[35.1035337, 129.0248163]",
스타필드 코엑스몰,서울특별시 강남구 삼성1동 영동대로 513,"[37.511685, 127.0571454]","월요일
오전 10:30~오후 10:00
화요일
오전 10:30~오후 10:00
수요일
오전 10:30~오후 10:00
목요일
오전 10:30~오후 10:00
금요일
오전 10:30~오후 10:00
토요일
오전 10:30~오후 10:00
일요일
오전 10:30~오후 10:00"
서울랜드,경기도 과천시 막계동 광명로 181,"[37.4341563, 127.0179327]","월요일
오전 9:30~오후 10:00
화요일
오전 9:30~오후 10:00
수요일
오전 9:30~오후 10:00
목요일
오전 9:30~오후 10:00
금요일
오전 9:30~오후 10:00
토요일
오전 9:30~오후 10:00
일요일
오전 9:30~오후 10:00"
넥슨컴퓨터박물관,제주특별자치도 제주시 노형동 1100로 3198-8,"[33.4718397, 126.4827519]","월요일
휴무일
화요일
오전 10:00~오후 6:00
수요일
오전 10:00~오후 6:00
목요일
오전 10:00~오후 6:00
금요일
오전 10:00~오후 6:00
토요일
오전 10:00~오후 6:00
일요일
오전 10:00~오후 6:00"
금오산 도립공원,구미시 남통동,"[36.0977778, 128.2989171]",
갓바위,경상북도 경산시 와촌면 갓바위로81길 176-64,"[35.9815605, 128.7342934]",
외돌개,제주특별자치도 서귀포시 서홍동 791,"[33.239072, 126.542398]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
초당동 순두부 마을,강원도 강릉시 초당동 초당순두부길 77,"[37.790496, 128.913247]","월요일
오전 8:00~오후 8:00
화요일
오전 8:00~오후 3:00
수요일
휴무일
목요일
오전 8:00~오후 8:00
금요일
오전 8:00~오후 8:00
토요일
오전 8:00~오후 8:00
일요일
오전 8:00~오후 8:00"
Busan Air Cruise,부산광역시 서구 암남동 124-1,"[35.0762954, 129.0212026]",
잠실 야구 경기장,서울특별시 송파구 잠실동 올림픽로 25,"[37.5122579, 127.0697071]",
부산 박물관,부산광역시 남구 대연4동 유엔평화로 63,"[35.1295178, 129.091957]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 9:00
토요일
오전 9:00~오후 9:00
일요일
오전 9:00~오후 6:00"
여주 프리미엄 아울렛,경기도 여주군 여주읍 명품로 360,"[37.242065, 127.6105611]","월요일
오전 10:30~오후 8:30
화요일
오전 10:30~오후 8:30
수요일
오전 10:30~오후 8:30
목요일
오전 10:30~오후 8:30
금요일
오전 10:30~오후 9:00
토요일
오전 10:30~오후 9:00
일요일
오전 10:30~오후 9:00"
무의도,인천광역시 용유동,"[37.3918778, 126.3980324]",
국립세종도서관,세종특별자치시 남면 다솜3로 48,"[36.4987002, 127.2661992]","월요일
휴무일
화요일
오전 9:00~오후 9:00
수요일
오전 9:00~오후 9:00
목요일
오전 9:00~오후 9:00
금요일
오전 9:00~오후 9:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
속삭이는 자작나무 숲,속삭이는 자작나무 숲,"[37.9875376, 128.1904805]",
현대백화점대구점,대구광역시 중구 성내2동 달구벌대로 2077,"[35.8667052, 128.5883923]","월요일
오전 10:30~오후 8:00
화요일
오전 10:30~오후 8:00
수요일
오전 10:30~오후 8:00
목요일
오전 10:30~오후 8:00
금요일
오전 10:30~오후 8:30
토요일
오전 10:30~오후 8:30
일요일
오전 10:30~오후 8:30"
알펜시아 스키점프 라운지,알펜시아 스키점프 센터,"[37.6628368, 128.6798986]",
미리내 성지,경기도 안성시 양성면 미리내성지로,"[37.1252071, 127.2381745]",
흥정계곡,강원도 평창군 봉평면 흥정리,"[37.6246642, 128.3471128]",
강릉중앙시장,강원도 강릉시 중앙동 금성로 21,"[37.7539833, 128.8963723]","월요일
오전 8:30~오후 9:00
화요일
오전 8:30~오후 9:00
수요일
오전 8:30~오후 9:00
목요일
오전 8:30~오후 9:00
금요일
오전 8:30~오후 9:00
토요일
오전 8:30~오후 9:00
일요일
오전 8:30~오후 9:00"
전주객사,전라북도 전주시 완산구 중앙동 전주객사5길,"[35.8206715, 127.1425605]",
코엑스 아쿠아리움,서울특별시 강남구 삼성1동 영동대로 513,"[37.513131, 127.0560887]","월요일
오전 10:00~오후 9:00
화요일
오전 10:00~오후 9:00
수요일
오전 10:00~오후 9:00
목요일
오전 10:00~오후 9:00
금요일
오전 10:00~오후 9:00
토요일
오전 10:00~오후 9:00
일요일
오전 10:00~오후 9:00"
에티오피아한국전참전기념관,강원도 춘천시 근화동 이디오피아길 1,"[37.8737615, 127.7096051]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
휴무일"
전곡항,화성시 서신면,"[37.1869618, 126.6347377]",
국립 5・18 민주 묘지,광주광역시 북구 운정동 민주로 200,"[35.2353414, 126.9379244]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
진위천시민유원지,경기도 평택시 진위면 진위서로 264-15,"[37.0979562, 127.0834833]",
전주 전통술박물관,전라북도 전주시 완산구 풍남동3가 39-3,"[35.8169998, 127.1513061]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
롯데 프리미엄 아울렛 파주점,경기도 파주시 문발동 회동길 390,"[37.7180374, 126.6903539]","월요일
오전 10:30~오후 8:30
화요일
오전 10:30~오후 8:30
수요일
오전 10:30~오후 8:30
목요일
오전 10:30~오후 8:30
금요일
오전 10:30~오후 9:00
토요일
오전 10:30~오후 9:00
일요일
오전 10:30~오후 9:00"
영녕릉,경기도 여주군 능서면 왕대리 산83-1,"[37.3128503, 127.6066394]","월요일
휴무일
화요일
오전 9:00~오후 5:30
수요일
오전 9:00~오후 5:30
목요일
오전 9:00~오후 5:30
금요일
오전 9:00~오후 5:30
토요일
오전 9:00~오후 5:30
일요일
오전 9:00~오후 5:30"
선암사,전라남도 순천시 승주읍 선암사길 450,"[34.9960451, 127.3282827]","월요일
오전 8:00~오후 6:00
화요일
오전 8:00~오후 6:00
수요일
오전 8:00~오후 6:00
목요일
오전 8:00~오후 6:00
금요일
오전 8:00~오후 6:00
토요일
오전 8:00~오후 6:00
일요일
오전 8:00~오후 6:00"
부산 시민공원,부산광역시 부산진구 범전동 시민공원로 73,"[35.1681759, 129.0549518]","월요일
오전 5:00~오전 12:00
화요일
오전 5:00~오전 12:00
수요일
오전 5:00~오전 12:00
목요일
오전 5:00~오전 12:00
금요일
오전 5:00~오전 12:00
토요일
오전 5:00~오전 12:00
일요일
오전 5:00~오전 12:00"
청주고인쇄박물관,충청북도 청주시 흥덕구 운천.신봉동 직지대로 713,"[36.6440447, 127.4692813]","월요일
휴무일
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
문경새재 도립공원,경상북도 문경시 문경읍 새재로 932,"[36.7616161, 128.0747731]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
얼라이브 아쿠아리움 대구,대구광역시 동구 신천동 동부로 149,"[35.8778124, 128.6262587]",
천진해수욕장,고성군 토성면,"[38.256823, 128.557862]",
운문사,경상북도 청도군 운문면 운문사길 264,"[35.661273, 128.958084]",
엑스포다리,대전광역시 유성구 도룡동,"[36.3727149, 127.3857967]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
